| epoch   1 |  1000/237767 batches | lr 1.000000e-05 | ms/batch 395.28 | loss  9.37 
| epoch   1 |  2000/237767 batches | lr 2.000000e-05 | ms/batch 121.83 | loss  8.49 
| epoch   1 |  3000/237767 batches | lr 3.000000e-05 | ms/batch 122.78 | loss  8.16 
| epoch   1 |  4000/237767 batches | lr 4.000000e-05 | ms/batch 121.05 | loss  7.81 
| epoch   1 |  5000/237767 batches | lr 5.000000e-05 | ms/batch 121.96 | loss  7.44 
| epoch   1 |  6000/237767 batches | lr 6.000000e-05 | ms/batch 120.30 | loss  7.14 
| epoch   1 |  7000/237767 batches | lr 7.000000e-05 | ms/batch 121.31 | loss  6.85 
| epoch   1 |  8000/237767 batches | lr 8.000000e-05 | ms/batch 120.38 | loss  6.59 
| epoch   1 |  9000/237767 batches | lr 9.000000e-05 | ms/batch 121.24 | loss  6.36 
| epoch   1 | 10000/237767 batches | lr 1.000000e-04 | ms/batch 120.84 | loss  6.18 
| epoch   1 | 11000/237767 batches | lr 9.998947e-05 | ms/batch 121.04 | loss  6.01 
| epoch   1 | 12000/237767 batches | lr 9.997895e-05 | ms/batch 120.66 | loss  5.88 
| epoch   1 | 13000/237767 batches | lr 9.996842e-05 | ms/batch 122.36 | loss  5.78 
| epoch   1 | 14000/237767 batches | lr 9.995790e-05 | ms/batch 121.79 | loss  5.68 
| epoch   1 | 15000/237767 batches | lr 9.994737e-05 | ms/batch 120.72 | loss  5.60 
| epoch   1 | 16000/237767 batches | lr 9.993685e-05 | ms/batch 121.08 | loss  5.54 
| epoch   1 | 17000/237767 batches | lr 9.992632e-05 | ms/batch 120.50 | loss  5.47 
| epoch   1 | 18000/237767 batches | lr 9.991580e-05 | ms/batch 121.45 | loss  5.42 
| epoch   1 | 19000/237767 batches | lr 9.990527e-05 | ms/batch 120.28 | loss  5.37 
| epoch   1 | 20000/237767 batches | lr 9.989474e-05 | ms/batch 121.43 | loss  5.32 
| epoch   1 | 21000/237767 batches | lr 9.988422e-05 | ms/batch 120.30 | loss  5.30 
