| epoch   1 |  1000/297209 batches | lr 1.000000e-05 | ms/batch 492.21 | loss  9.37 
| epoch   1 |  2000/297209 batches | lr 2.000000e-05 | ms/batch 126.42 | loss  8.50 
| epoch   1 |  3000/297209 batches | lr 3.000000e-05 | ms/batch 126.01 | loss  8.16 
| epoch   1 |  4000/297209 batches | lr 4.000000e-05 | ms/batch 119.59 | loss  7.82 
| epoch   1 |  5000/297209 batches | lr 5.000000e-05 | ms/batch 119.83 | loss  7.44 
| epoch   1 |  6000/297209 batches | lr 6.000000e-05 | ms/batch 119.76 | loss  7.13 
| epoch   1 |  7000/297209 batches | lr 7.000000e-05 | ms/batch 120.05 | loss  6.85 
| epoch   1 |  8000/297209 batches | lr 8.000000e-05 | ms/batch 119.83 | loss  6.58 
| epoch   1 |  9000/297209 batches | lr 9.000000e-05 | ms/batch 119.95 | loss  6.36 
| epoch   1 | 10000/297209 batches | lr 1.000000e-04 | ms/batch 120.07 | loss  6.18 
| epoch   1 | 11000/297209 batches | lr 9.996624e-05 | ms/batch 119.92 | loss  6.01 
| epoch   1 | 12000/297209 batches | lr 9.993248e-05 | ms/batch 120.10 | loss  5.87 
| epoch   1 | 13000/297209 batches | lr 9.989872e-05 | ms/batch 119.95 | loss  5.78 
| epoch   1 | 14000/297209 batches | lr 9.986496e-05 | ms/batch 119.95 | loss  5.69 
| epoch   1 | 15000/297209 batches | lr 9.983120e-05 | ms/batch 119.89 | loss  5.60 
| epoch   1 | 16000/297209 batches | lr 9.979744e-05 | ms/batch 119.93 | loss  5.53 
| epoch   1 | 17000/297209 batches | lr 9.976368e-05 | ms/batch 120.01 | loss  5.47 
| epoch   1 | 18000/297209 batches | lr 9.972992e-05 | ms/batch 119.93 | loss  5.42 
| epoch   1 | 19000/297209 batches | lr 9.969616e-05 | ms/batch 120.16 | loss  5.36 
| epoch   1 | 20000/297209 batches | lr 9.966240e-05 | ms/batch 119.82 | loss  5.33 
| epoch   1 | 21000/297209 batches | lr 9.962864e-05 | ms/batch 119.91 | loss  5.28 
| epoch   1 | 22000/297209 batches | lr 9.959488e-05 | ms/batch 120.06 | loss  5.25 
| epoch   1 | 23000/297209 batches | lr 9.956112e-05 | ms/batch 119.87 | loss  5.23 
| epoch   1 | 24000/297209 batches | lr 9.952736e-05 | ms/batch 120.11 | loss  5.19 
| epoch   1 | 25000/297209 batches | lr 9.949360e-05 | ms/batch 119.86 | loss  5.16 
| epoch   1 | 26000/297209 batches | lr 9.945984e-05 | ms/batch 120.12 | loss  5.12 
| epoch   1 | 27000/297209 batches | lr 9.942608e-05 | ms/batch 119.95 | loss  5.10 
| epoch   1 | 28000/297209 batches | lr 9.939232e-05 | ms/batch 119.98 | loss  5.07 
| epoch   1 | 29000/297209 batches | lr 9.935856e-05 | ms/batch 120.05 | loss  5.05 
| epoch   1 | 30000/297209 batches | lr 9.932480e-05 | ms/batch 119.97 | loss  5.03 
| epoch   1 | 31000/297209 batches | lr 9.929104e-05 | ms/batch 120.22 | loss  5.00 
| epoch   1 | 32000/297209 batches | lr 9.925728e-05 | ms/batch 119.90 | loss  4.98 
| epoch   1 | 33000/297209 batches | lr 9.922352e-05 | ms/batch 120.07 | loss  4.98 
| epoch   1 | 34000/297209 batches | lr 9.918976e-05 | ms/batch 119.95 | loss  4.95 
| epoch   1 | 35000/297209 batches | lr 9.915600e-05 | ms/batch 119.97 | loss  4.92 
| epoch   1 | 36000/297209 batches | lr 9.912224e-05 | ms/batch 120.04 | loss  4.90 
| epoch   1 | 37000/297209 batches | lr 9.908848e-05 | ms/batch 119.91 | loss  4.88 
| epoch   1 | 38000/297209 batches | lr 9.905472e-05 | ms/batch 120.11 | loss  4.86 
| epoch   1 | 39000/297209 batches | lr 9.902096e-05 | ms/batch 119.80 | loss  4.85 
| epoch   1 | 40000/297209 batches | lr 9.898720e-05 | ms/batch 119.97 | loss  4.84 
| epoch   1 | 41000/297209 batches | lr 9.895344e-05 | ms/batch 119.98 | loss  4.83 
| epoch   1 | 42000/297209 batches | lr 9.891968e-05 | ms/batch 119.95 | loss  4.80 
| epoch   1 | 43000/297209 batches | lr 9.888592e-05 | ms/batch 120.06 | loss  4.79 
| epoch   1 | 44000/297209 batches | lr 9.885216e-05 | ms/batch 119.90 | loss  4.77 
| epoch   1 | 45000/297209 batches | lr 9.881840e-05 | ms/batch 120.14 | loss  4.76 
| epoch   1 | 46000/297209 batches | lr 9.878464e-05 | ms/batch 119.89 | loss  4.74 
| epoch   1 | 47000/297209 batches | lr 9.875088e-05 | ms/batch 119.93 | loss  4.73 
